Month,Hight ,Windvane,Temperature,Humidity,Pressure,Wind Speed
12,80,358,15.166,61.646,971.026,4.084
12,80,358,15.166,62.256,971.1,4.143
12,78,358,15.166,61.646,971.026,4.112
12,78,358,15.166,62.256,971.1,4.178
12,60,358,15.166,61.646,971.026,4.189
12,60,358,15.166,62.256,971.1,4.322
12,40,358,15.166,61.646,971.026,4.441
12,40,358,15.166,62.256,971.1,4.519
12,20,358,15.166,61.646,971.026,4.677
12,20,358,15.166,62.256,971.1,4.723
12,80,358,15.532,56.03,970.807,2.881
12,78,358,15.532,56.03,970.807,2.84
12,60,358,15.532,56.03,970.807,2.789
12,40,358,15.532,56.03,970.807,2.57
12,20,358,15.532,56.03,970.807,2.533
12,80,358,17.241,50.293,970.514,5.001
12,78,358,17.241,50.293,970.514,4.996
12,60,358,17.241,50.293,970.514,4.907
12,40,358,17.241,50.293,970.514,4.857
12,20,358,17.241,50.293,970.514,4.879
12,80,358,17.485,50.293,970.587,5.028
12,78,358,17.485,50.293,970.587,5.025
12,60,358,17.485,50.293,970.587,4.948
12,40,358,17.485,50.293,970.587,4.886
12,20,358,17.485,50.293,970.587,4.897
12,80,358,17.974,48.706,968.756,7.623
12,78,358,17.974,48.706,968.756,7.61
12,60,358,17.974,48.706,968.756,7.423
12,40,358,17.974,48.706,968.756,7.092
12,20,358,17.974,48.706,968.756,6.786
12,80,358,18.584,44.312,968.463,6.628
12,80,358,18.584,46.265,972.491,5.879
12,78,358,18.584,44.312,968.463,6.617
12,78,358,18.584,46.265,972.491,5.882
12,60,358,18.584,44.312,968.463,6.282
12,60,358,18.584,46.265,972.491,5.817
12,40,358,18.584,44.312,968.463,5.917
12,40,358,18.584,46.265,972.491,5.809
12,20,358,18.584,44.312,968.463,5.575
12,20,358,18.584,46.265,972.491,5.578
12,80,358,18.706,43.701,968.536,5.101
12,78,358,18.706,43.701,968.536,5.076
12,60,358,18.706,43.701,968.536,4.76
12,40,358,18.706,43.701,968.536,4.406
12,20,358,18.706,43.701,968.536,4.125
12,80,358,19.072,33.203,970.733,7.075
12,78,358,19.072,33.203,970.733,7.071
12,60,358,19.072,33.203,970.733,6.808
12,40,358,19.072,33.203,970.733,6.654
12,20,358,19.072,33.203,970.733,6.576
12,80,358,20.293,35.034,972.125,5.855
12,78,358,20.293,35.034,972.125,5.813
12,60,358,20.293,35.034,972.125,5.582
12,40,358,20.293,35.034,972.125,5.43
12,20,358,20.293,35.034,972.125,5.216
11,80,358,23.833,38.452,964.728,7.019
11,78,358,23.833,38.452,964.728,6.976
11,60,358,23.833,38.452,964.728,6.779
11,40,358,23.833,38.452,964.728,6.463
11,20,358,23.833,38.452,964.728,6.02
11,80,358,23.955,52.002,967.877,6.229
11,78,358,23.955,52.002,967.877,6.204
11,60,358,23.955,52.002,967.877,5.751
11,40,358,23.955,52.002,967.877,5.364
11,20,358,23.955,52.002,967.877,4.945
11,80,358,24.199,48.462,967.438,4.104
11,78,358,24.199,48.462,967.438,4.075
11,60,358,24.199,48.462,967.438,3.803
11,40,358,24.199,48.462,967.438,3.675
11,20,358,24.199,48.462,967.438,3.646
10,80,358,27.373,36.743,968.023,6.39
10,78,358,27.373,36.743,968.023,6.334
10,60,358,27.373,36.743,968.023,5.988
10,40,358,27.373,36.743,968.023,5.427
10,20,358,27.373,36.743,968.023,5.104
5,80,358,31.646,15.137,968.316,10.732
5,78,358,31.646,15.137,968.316,10.846
5,60,358,31.646,15.137,968.316,10.626
5,40,358,31.646,15.137,968.316,10.453
5,20,358,31.646,15.137,968.316,10.207
3,80,358,8.086,19.531,970.367,7.188
3,78,358,8.086,19.531,970.367,7.161
3,60,358,8.086,19.531,970.367,7.3
3,40,358,8.086,19.531,970.367,7.337
3,20,358,8.086,19.531,970.367,7.143
2,80,358,8.086,22.949,970.514,6.699
2,78,358,8.086,22.949,970.514,6.651
2,60,358,8.086,22.949,970.514,6.654
2,40,358,8.086,22.949,970.514,6.544
2,20,358,8.086,22.949,970.514,6.381
1,80,358,16.509,34.668,968.097,6.048
1,78,358,16.509,34.668,968.097,6.001
1,60,358,16.509,34.668,968.097,5.704
1,40,358,16.509,34.668,968.097,5.369
1,20,358,16.509,34.668,968.097,5.077
1,80,358,20.659,22.461,969.415,1.283
1,78,358,20.659,22.461,969.415,1.265
1,60,358,20.659,22.461,969.415,1.235
1,40,358,20.659,22.461,969.415,1.251
1,20,358,20.659,22.461,969.415,1.273
12,80,357,14.556,59.448,971.759,4.661
12,78,357,14.556,59.448,971.759,4.688
12,60,357,14.556,59.448,971.759,4.691
12,40,357,14.556,59.448,971.759,4.781
12,20,357,14.556,59.448,971.759,4.97
12,80,357,15.166,61.523,971.1,4.069
12,78,357,15.166,61.523,971.1,4.085
12,60,357,15.166,61.523,971.1,4.175
12,40,357,15.166,61.523,971.1,4.335
12,20,357,15.166,61.523,971.1,4.584
12,80,357,15.41,58.105,970.807,3.296
12,78,357,15.41,58.105,970.807,3.238
12,60,357,15.41,58.105,970.807,3.046
12,40,357,15.41,58.105,970.807,2.925
12,20,357,15.41,58.105,970.807,2.836
12,80,357,17.241,50.903,970.514,4.982
12,78,357,17.241,50.903,970.514,4.981
12,60,357,17.241,50.903,970.514,4.87
12,40,357,17.241,50.903,970.514,4.781
12,20,357,17.241,50.903,970.514,4.743
12,80,357,18.462,46.875,968.536,6.916
12,78,357,18.462,46.875,968.536,6.905
12,60,357,18.462,46.875,968.536,6.654
12,40,357,18.462,46.875,968.536,6.272
12,20,357,18.462,46.875,968.536,5.666
12,80,357,18.706,39.673,970.88,6.508
12,78,357,18.706,39.673,970.88,6.49
12,60,357,18.706,39.673,970.88,6.211
12,40,357,18.706,39.673,970.88,5.941
12,20,357,18.706,39.673,970.88,5.824
12,80,357,19.438,42.48,970.294,1.474
12,78,357,19.438,42.48,970.294,1.431
12,60,357,19.438,42.48,970.294,1.216
12,40,357,19.438,42.48,970.294,0.977
12,20,357,19.438,42.48,970.294,0.829
12,80,357,19.561,46.265,970.074,5.422
12,78,357,19.561,46.265,970.074,5.55
12,60,357,19.561,46.265,970.074,4.833
12,40,357,19.561,46.265,970.074,3.888
12,20,357,19.561,46.265,970.074,3.556
12,80,357,20.049,34.424,972.198,5.229
12,78,357,20.049,34.424,972.198,5.188
12,60,357,20.049,34.424,972.198,4.836
12,40,357,20.049,34.424,972.198,4.218
12,20,357,20.049,34.424,972.198,3.856
11,80,357,22.368,50.171,967.804,2.876
11,78,357,22.368,50.171,967.804,2.901
11,60,357,22.368,50.171,967.804,2.437
11,40,357,22.368,50.171,967.804,1.843
11,20,357,22.368,50.171,967.804,1.388
11,80,357,22.734,40.771,969.781,2.502
11,80,357,22.734,54.077,968.683,3.636
11,78,357,22.734,40.771,969.781,2.488
11,78,357,22.734,54.077,968.683,3.577
11,60,357,22.734,40.771,969.781,2.52
11,60,357,22.734,54.077,968.683,3.235
11,40,357,22.734,40.771,969.781,2.641
11,40,357,22.734,54.077,968.683,2.85
11,20,357,22.734,40.771,969.781,2.623
11,20,357,22.734,54.077,968.683,2.645
11,80,357,22.979,59.937,970.514,6.107
11,78,357,22.979,59.937,970.514,6.089
11,60,357,22.979,59.937,970.514,5.969
11,40,357,22.979,59.937,970.514,5.758
11,20,357,22.979,59.937,970.514,5.287
11,80,357,23.223,59.082,970.367,6.251
11,78,357,23.223,59.082,970.367,6.221
11,60,357,23.223,59.082,970.367,5.937
11,40,357,23.223,59.082,970.367,5.611
11,20,357,23.223,59.082,970.367,5.214
11,80,357,23.711,45.654,967.291,4.417
11,80,357,23.711,51.27,967.804,7.547
11,80,357,23.711,51.636,967.73,7.672
11,78,357,23.711,45.654,967.291,4.449
11,78,357,23.711,51.27,967.804,7.508
11,78,357,23.711,51.636,967.73,7.64
11,60,357,23.711,45.654,967.291,4.603
11,60,357,23.711,51.27,967.804,7.175
11,60,357,23.711,51.636,967.73,7.312
11,40,357,23.711,45.654,967.291,4.668
11,40,357,23.711,51.27,967.804,6.832
11,40,357,23.711,51.636,967.73,6.94
11,20,357,23.711,45.654,967.291,4.843
11,20,357,23.711,51.27,967.804,6.542
11,20,357,23.711,51.636,967.73,6.586
11,80,357,23.833,50.049,967.657,4.018
11,80,357,23.833,51.392,967.804,7.361
11,80,357,23.833,42.114,967.071,7.339
11,78,357,23.833,50.049,967.657,3.955
11,78,357,23.833,51.392,967.804,7.308
11,78,357,23.833,42.114,967.071,7.337
11,60,357,23.833,50.049,967.657,3.636
11,60,357,23.833,51.392,967.804,6.962
11,60,357,23.833,42.114,967.071,7.156
11,40,357,23.833,50.049,967.657,3.361
11,40,357,23.833,51.392,967.804,6.619
11,40,357,23.833,42.114,967.071,7.021
11,20,357,23.833,50.049,967.657,3.195
11,20,357,23.833,51.392,967.804,6.103
11,20,357,23.833,42.114,967.071,6.718
10,80,357,23.223,47.363,967.364,7.951
10,78,357,23.223,47.363,967.364,7.913
10,60,357,23.223,47.363,967.364,7.65
10,40,357,23.223,47.363,967.364,7.263
10,20,357,23.223,47.363,967.364,6.899
9,80,357,27.007,21.973,965.753,10.681
9,78,357,27.007,21.973,965.753,10.621
9,60,357,27.007,21.973,965.753,9.924
9,40,357,27.007,21.973,965.753,9.07
9,20,357,27.007,21.973,965.753,8.271
5,80,357,27.983,25.635,963.922,6.266
5,78,357,27.983,25.635,963.922,6.26
5,60,357,27.983,25.635,963.922,6.108
5,40,357,27.983,25.635,963.922,5.863
5,20,357,27.983,25.635,963.922,5.646
4,80,357,26.763,29.297,962.896,7.868
4,78,357,26.763,29.297,962.896,7.813
4,60,357,26.763,29.297,962.896,7.44
4,40,357,26.763,29.297,962.896,6.938
4,20,357,26.763,29.297,962.896,6.337
4,80,357,27.373,25.513,965.24,6.219
4,78,357,27.373,25.513,965.24,6.194
4,60,357,27.373,25.513,965.24,6.142
4,40,357,27.373,25.513,965.24,6.025
4,20,357,27.373,25.513,965.24,5.646
4,80,357,27.495,24.78,965.167,6.085
4,78,357,27.495,24.78,965.167,6.05
4,60,357,27.495,24.78,965.167,5.881
4,40,357,27.495,24.78,965.167,5.545
4,20,357,27.495,24.78,965.167,5.287
1,80,357,13.579,62.134,973.37,6.207
1,78,357,13.579,62.134,973.37,6.241
1,60,357,13.579,62.134,973.37,6.27
1,40,357,13.579,62.134,973.37,6.257
1,20,357,13.579,62.134,973.37,6.239
1,80,357,13.823,59.814,973.15,5.862
1,78,357,13.823,59.814,973.15,5.867
1,60,357,13.823,59.814,973.15,5.756
1,40,357,13.823,59.814,973.15,5.555
1,20,357,13.823,59.814,973.15,5.382
1,80,357,14.189,58.35,968.023,7.173
1,78,357,14.189,58.35,968.023,7.166
1,60,357,14.189,58.35,968.023,7.016
1,40,357,14.189,58.35,968.023,6.739
1,20,357,14.189,58.35,968.023,6.254
1,80,357,14.434,46.143,968.243,2.076
1,78,357,14.434,46.143,968.243,2.151
1,60,357,14.434,46.143,968.243,2.66
1,40,357,14.434,46.143,968.243,2.989
1,20,357,14.434,46.143,968.243,3.107
1,80,357,16.143,54.321,972.345,4.39
1,78,357,16.143,54.321,972.345,4.407
1,60,357,16.143,54.321,972.345,4.454
1,40,357,16.143,54.321,972.345,4.49
1,20,357,16.143,54.321,972.345,4.572
1,80,357,20.781,22.583,969.269,1.073
1,78,357,20.781,22.583,969.269,1.033
1,60,357,20.781,22.583,969.269,1.081
1,40,357,20.781,22.583,969.269,1.119
1,20,357,20.781,22.583,969.269,1.117
12,80,356,15.044,61.89,971.173,4.028
12,78,356,15.044,61.89,971.173,4.038
12,60,356,15.044,61.89,971.173,4.16
12,40,356,15.044,61.89,971.173,4.294
12,20,356,15.044,61.89,971.173,4.489
12,80,356,15.288,60.059,970.88,3.925
12,78,356,15.288,60.059,970.88,3.98
12,60,356,15.288,60.059,970.88,4.251
12,40,356,15.288,60.059,970.88,4.551
12,20,356,15.288,60.059,970.88,4.733
12,80,356,18.706,30.273,970.807,5.945
12,78,356,18.706,30.273,970.807,5.921
12,60,356,18.706,30.273,970.807,5.805
12,40,356,18.706,30.273,970.807,5.758
12,20,356,18.706,30.273,970.807,5.812
12,80,356,18.828,39.185,968.609,3.663
12,78,356,18.828,39.185,968.609,3.643
12,60,356,18.828,39.185,968.609,3.673
12,40,356,18.828,39.185,968.609,3.758
12,20,356,18.828,39.185,968.609,3.874
12,80,356,19.316,42.114,970.367,1.083
12,78,356,19.316,42.114,970.367,1.045
12,60,356,19.316,42.114,970.367,0.849
12,40,356,19.316,42.114,970.367,0.512
12,20,356,19.316,42.114,970.367,0.299
11,80,356,20.781,52.246,968.976,1.628
11,78,356,20.781,52.246,968.976,1.677
11,60,356,20.781,52.246,968.976,1.47
11,40,356,20.781,52.246,968.976,1.44
11,20,356,20.781,52.246,968.976,1.664
11,80,356,21.758,52.002,969.122,1.54
11,78,356,21.758,52.002,969.122,1.516
11,60,356,21.758,52.002,969.122,1.607
11,40,356,21.758,52.002,969.122,1.589
11,20,356,21.758,52.002,969.122,2.045
11,80,356,22.246,58.716,967.73,5.16
11,78,356,22.246,58.716,967.73,5.093
11,60,356,22.246,58.716,967.73,4.941
11,40,356,22.246,58.716,967.73,4.938
11,20,356,22.246,58.716,967.73,4.872
11,80,356,22.734,62.256,970.807,6.836
11,80,356,22.734,40.771,969.928,2.264
11,78,356,22.734,62.256,970.807,6.817
11,78,356,22.734,40.771,969.928,2.244
11,60,356,22.734,62.256,970.807,6.727
11,60,356,22.734,40.771,969.928,2.273
11,40,356,22.734,62.256,970.807,6.551
11,40,356,22.734,40.771,969.928,2.326
11,20,356,22.734,62.256,970.807,6.232
11,20,356,22.734,40.771,969.928,2.306
11,80,356,22.856,60.303,970.66,6.645
11,78,356,22.856,60.303,970.66,6.636
11,60,356,22.856,60.303,970.66,6.532
11,40,356,22.856,60.303,970.66,6.36
11,20,356,22.856,60.303,970.66,6.127
11,80,356,23.345,44.434,966.778,5.735
11,78,356,23.345,44.434,966.778,5.738
11,60,356,23.345,44.434,966.778,5.761
11,40,356,23.345,44.434,966.778,5.731
11,20,356,23.345,44.434,966.778,5.734
11,80,356,23.833,37.598,964.874,7.112
11,80,356,23.833,38.452,963.849,8.054
11,78,356,23.833,37.598,964.874,7.066
11,78,356,23.833,38.452,963.849,7.996
11,60,356,23.833,37.598,964.874,6.857
11,60,356,23.833,38.452,963.849,7.506
11,40,356,23.833,37.598,964.874,6.923
11,40,356,23.833,38.452,963.849,7.019
11,20,356,23.833,37.598,964.874,6.498
11,20,356,23.833,38.452,963.849,6.467
11,80,356,23.955,37.476,963.702,7.689
11,78,356,23.955,37.476,963.702,7.662
11,60,356,23.955,37.476,963.702,7.31
11,40,356,23.955,37.476,963.702,7.041
11,20,356,23.955,37.476,963.702,6.718
11,80,356,24.321,48.706,968.097,5.067
11,78,356,24.321,48.706,968.097,5.047
11,60,356,24.321,48.706,968.097,4.814
11,40,356,24.321,48.706,968.097,4.58
11,20,356,24.321,48.706,968.097,4.518
11,80,356,24.443,49.072,968.023,5.243
11,78,356,24.443,49.072,968.023,5.215
11,60,356,24.443,49.072,968.023,4.955
11,40,356,24.443,49.072,968.023,4.928
11,20,356,24.443,49.072,968.023,4.865
10,80,356,27.739,36.377,968.023,5.566
10,78,356,27.739,36.377,968.023,5.533
10,60,356,27.739,36.377,968.023,5.222
10,40,356,27.739,36.377,968.023,5.006
10,20,356,27.739,36.377,968.023,4.696
3,80,356,25.054,17.456,968.609,4.003
3,78,356,25.054,17.456,968.609,3.985
3,60,356,25.054,17.456,968.609,4.006
3,40,356,25.054,17.456,968.609,3.99
3,20,356,25.054,17.456,968.609,3.913
1,80,356,13.823,61.279,967.804,5.598
1,78,356,13.823,61.279,967.804,5.606
1,60,356,13.823,61.279,967.804,5.499
1,40,356,13.823,61.279,967.804,5.302
1,20,356,13.823,61.279,967.804,5.021
1,80,356,14.067,56.763,972.931,5.889
1,78,356,14.067,56.763,972.931,5.901
1,60,356,14.067,56.763,972.931,5.844
1,40,356,14.067,56.763,972.931,5.662
1,20,356,14.067,56.763,972.931,5.683
1,80,356,14.556,44.678,968.023,1.589
1,78,356,14.556,44.678,968.023,1.619
1,60,356,14.556,44.678,968.023,1.96
1,40,356,14.556,44.678,968.023,2.659
1,20,356,14.556,44.678,968.023,3.07
1,80,356,16.509,55.176,972.418,2.949
1,78,356,16.509,55.176,972.418,2.967
